Codigo_Cliente;Segmento_RFM;CLV_Estimado;CLV_Categoria;Score_Saude_Cliente;Prioridade_Acao;Estrategia_Recomendada;Receita_Total;Ticket_Medio;Num_Transacoes;Days_Since_Last_Purchase;Risco_Churn_Flag;R_Score;F_Score;M_Score;RFM_Score;Estado_Estimado;Faixa_Etaria_Estimada;Genero_Estimado;Categoria_Preferida;Canal_Preferencial;Padrao_Sazonal;Primeira_Compra;Ultima_Compra;Quantidade_sum;Produtos_Unicos;Grupo_Produto_<lambda>;Total_Itens;Customer_Lifecycle_Days;Avg_Days_Between_Purchases;Recency_Days;Frequency_Count;Monetary_Value;Purchase_Frequency_Annual;Estimated_Margin_Per_Purchase;Estimated_Lifetime_Years;CLV_Projetado_24M;Estado_Civil_Estimado;Mes_Pico_Compras;Proxima_Compra_Prevista_Dias;Investimento_Sugerido;ROI_Esperado_Estrategia;Score_Atividade;Score_Fidelidade;Score_Valor;Score_Potencial;Score_Urgencia
CM0044204;Em_Risco;26478.9;Alto;13.0;1;Reativacao_Urgente;1260.9;210.15;6;20;0;1;3;3;133;RS;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-06;2025-05-06;106;6;ALIANCA ACO;6;1;0.2;20;6;1260.9;60.0;126.09;3.5;52957.8;Casado;5;0.0;500.0;2.0;28.6;3.7;1.4;1.4;30
C000008449;Em_Risco;45621.87;Premium;12.2;1;Reativacao_Urgente;2172.47;271.55875;8;21;0;1;4;3;143;MG;26-35;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-05;2025-05-05;92;8;ALIANCA PRATA;8;1;0.1;21;8;2172.47;80.0;162.93524999999997;3.5;91243.74;Casado;5;0.0;500.0;2.0;25.0;5.0;2.4;2.4;50
CM0013913;Em_Risco;158511.78;Premium;8.5;1;Reativacao_Urgente;7548.18;444.0105882352941;17;26;0;1;5;5;155;MG;26-35;Masculino;Brincos;E-commerce;Outono;2025-04-30;2025-04-30;221;17;ALIANCA ACO;17;1;0.1;26;17;7548.18;170.0;266.40635294117646;3.5;317023.56;Casado;4;0.0;500.0;2.0;7.1;10.6;8.3;8.3;50
CM0005821;Em_Risco;62583.57;Premium;8.0;1;Reativacao_Urgente;2980.17;425.73857142857145;7;24;0;1;3;4;134;SP;18-25;Feminino;Brincos;Telefone;Datas_Comemorativas;2025-05-02;2025-05-02;83;7;ALIANCA PRATA;7;1;0.1;24;7;2980.17;70.0;255.44314285714285;3.5;125167.14;Casado;5;0.0;500.0;2.0;14.3;4.3;3.3;3.3;50
C000008822;Em_Risco;210564.48;Premium;7.8;1;Reativacao_Urgente;10026.88;1114.0977777777778;9;26;0;1;4;5;145;MG;26-35;Feminino;Brincos;Telefone;Outono;2025-04-30;2025-04-30;396;9;ALIANCA PRATA;9;1;0.1;26;9;10026.88;90.0;668.4586666666667;3.5;421128.96;Solteiro;4;0.0;500.0;2.0;7.1;5.6;11.0;11.0;50
CM0054161;Em_Risco;37442.37;Premium;7.8;1;Reativacao_Urgente;1782.97;222.87125;8;24;0;1;4;3;143;RS;26-35;Masculino;Pulseiras;E-commerce;Outono;2025-04-28;2025-05-02;10;7;FINANCEIRO;8;5;0.6;24;8;1782.97;80.0;133.72275;3.5;74884.74;Casado;4;0.0;500.0;2.0;14.3;5.0;1.9;1.9;50
CM0040206;Em_Risco;26759.46;Alto;7.6;1;Reativacao_Urgente;1274.26;159.2825;8;24;0;1;4;3;143;MG;18-25;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-02;2025-05-02;53;8;ALIANCA ACO;8;1;0.1;24;8;1274.26;80.0;95.56949999999999;3.5;53518.92;Solteiro;5;0.0;500.0;2.0;14.3;5.0;1.4;1.4;30
CM0025052;Em_Risco;34235.67;Premium;7.4;1;Reativacao_Urgente;1630.27;271.71166666666664;6;24;0;1;3;3;133;SP;26-35;Feminino;Pulseiras;Telefone;Datas_Comemorativas;2025-05-02;2025-05-02;59;6;ALIANCA PRATA;6;1;0.2;24;6;1630.27;60.0;163.027;3.5;68471.34;Casado;5;0.0;500.0;2.0;14.3;3.7;1.8;1.8;50
CM0044300;Em_Risco;46593.96;Premium;7.4;1;Reativacao_Urgente;2218.76;443.75200000000007;5;24;0;1;3;3;133;SP;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-02;2025-05-02;98;5;ALIANCA PRATA;5;1;0.2;24;5;2218.76;50.0;266.25120000000004;3.5;93187.92;Solteiro;5;0.0;500.0;2.0;14.3;3.1;2.4;2.4;50
CM0005451;Em_Risco;31838.52;Premium;7.2;1;Reativacao_Urgente;1516.1200000000001;303.22400000000005;5;24;0;1;3;3;133;SP;26-35;Feminino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-02;2025-05-02;81;5;ALIANCA ACO;5;1;0.2;24;5;1516.1200000000001;50.0;181.9344;3.5;63677.04;Casado;5;0.0;500.0;2.0;14.3;3.1;1.7;1.7;50
CM0046309;Em_Risco;60650.1;Premium;7.2;1;Reativacao_Urgente;2888.1;160.45;18;26;0;1;5;4;154;PR;26-35;Feminino;Pulseiras;Telefone;Outono;2025-04-30;2025-04-30;159;18;ALIANCA ACO;18;1;0.1;26;18;2888.1;180.0;96.27;3.5;121300.2;Solteiro;4;0.0;500.0;2.0;7.1;11.2;3.2;3.2;50
CM00940844;Em_Risco;102463.41;Premium;5.9;1;Reativacao_Urgente;4879.21;609.90125;8;26;0;1;4;4;144;SP;26-35;Feminino;Brincos;E-commerce;Outono;2025-04-30;2025-04-30;144;8;ALIANCA PRATA;8;1;0.1;26;8;4879.21;80.0;365.94075;3.5;204926.82;Casado;4;0.0;500.0;2.0;7.1;5.0;5.3;5.3;50
CM0023231;Em_Risco;88676.7;Premium;5.7;1;Reativacao_Urgente;4222.7;527.8375;8;26;0;1;4;4;144;RS;26-35;Masculino;Pulseiras;Telefone;Outono;2025-04-30;2025-04-30;110;8;ALIANCA PRATA;8;1;0.1;26;8;4222.7;80.0;316.7025;3.5;177353.4;Solteiro;4;0.0;500.0;2.0;7.1;5.0;4.6;4.6;50
CM0032017;Em_Risco;155015.91;Premium;5.2;1;Reativacao_Urgente;7381.71;1054.53;7;27;0;1;3;5;135;MG;18-25;Feminino;Pulseiras;Telefone;Outono;2025-04-29;2025-04-29;153;7;ALIANCA PRATA;7;1;0.1;27;7;7381.71;70.0;632.718;3.5;310031.82;Solteiro;4;0.0;500.0;2.0;3.6;4.3;8.1;8.1;50
C000008719;Em_Risco;29267.91;Alto;5.0;1;Reativacao_Urgente;1393.71;154.85666666666668;9;26;0;1;4;3;143;RS;26-35;Masculino;Brincos;E-commerce;Outono;2025-04-30;2025-04-30;46;9;ALIANCA PRATA;9;1;0.1;26;9;1393.71;90.0;92.914;3.5;58535.82;Casado;4;0.0;500.0;2.0;7.1;5.6;1.5;1.5;30
CM0047645;Em_Risco;63653.94;Premium;4.9;1;Reativacao_Urgente;3031.14;505.19;6;26;0;1;3;4;134;RS;18-25;Feminino;Pulseiras;Telefone;Outono;2025-04-30;2025-04-30;61;6;ANEL PRATA;6;1;0.2;26;6;3031.14;60.0;303.114;3.5;127307.88;Casado;4;0.0;500.0;2.0;7.1;3.7;3.3;3.3;50
CM0015591;Em_Risco;31024.77;Premium;4.8;1;Reativacao_Urgente;1477.37;184.67125;8;26;0;1;4;3;143;SP;18-25;Feminino;Pulseiras;E-commerce;Outono;2025-04-30;2025-04-30;29;8;ALIANCA PRATA;8;1;0.1;26;8;1477.37;80.0;110.80274999999999;3.5;62049.54;Solteiro;4;0.0;500.0;2.0;7.1;5.0;1.6;1.6;50
CM0045497;Em_Risco;25568.76;Alto;4.7;1;Reativacao_Urgente;1217.56;152.195;8;26;0;1;4;2;142;RJ;26-35;Feminino;Brincos;E-commerce;Outono;2025-04-30;2025-04-30;15;8;ALIANCA PRATA;8;1;0.1;26;8;1217.56;80.0;91.317;3.5;51137.52;Casado;4;0.0;500.0;2.0;7.1;5.0;1.3;1.3;30
CM0057780;Em_Risco;103299.0;Premium;4.7;1;Reativacao_Urgente;4919.0;546.5555555555555;9;27;0;1;4;4;144;MG;18-25;Masculino;Brincos;Telefone;Outono;2025-04-29;2025-04-29;145;9;ALIANCA PRATA;9;1;0.1;27;9;4919.0;90.0;327.93333333333334;3.5;206598.0;Solteiro;4;0.0;500.0;2.0;3.6;5.6;5.4;5.4;50
CM0047556;Em_Risco;174569.43;Premium;4.4;1;Reativacao_Urgente;8312.83;923.6477777777777;9;28;0;1;4;5;145;SP;26-35;Feminino;Brincos;E-commerce;Outono;2025-04-28;2025-04-28;97;9;ALIANCA PRATA;9;1;0.1;28;9;8312.83;90.0;554.1886666666666;3.5;349138.86;Casado;4;0.0;500.0;2.0;0.0;5.6;9.1;9.1;50
CM0057388;Em_Risco;38968.86;Premium;4.4;1;Reativacao_Urgente;1855.6599999999999;371.13199999999995;5;26;0;1;3;3;133;PR;26-35;Feminino;Pulseiras;Telefone;Outono;2025-04-30;2025-04-30;57;5;ALIANCA PRATA;5;1;0.2;26;5;1855.6599999999999;50.0;222.67919999999995;3.5;77937.72;Casado;4;0.0;500.0;2.0;7.1;3.1;2.0;2.0;50
CM0023194;Em_Risco;101348.31;Premium;4.1;1;Reativacao_Urgente;4826.110000000001;804.3516666666668;6;27;0;1;3;4;134;RS;26-35;Feminino;Pulseiras;Telefone;Outono;2025-04-29;2025-04-29;84;6;ALIANCA PRATA;6;1;0.2;27;6;4826.110000000001;60.0;482.61100000000005;3.5;202696.62;Casado;4;0.0;500.0;2.0;3.6;3.7;5.3;5.3;50
CM0057299;Em_Risco;54060.09;Premium;4.0;1;Reativacao_Urgente;2574.29;286.03222222222223;9;27;0;1;4;4;144;RJ;26-35;Feminino;Pulseiras;Telefone;Outono;2025-04-29;2025-04-29;47;9;ALIANCA PRATA;9;1;0.1;27;9;2574.29;90.0;171.61933333333334;3.5;108120.18;Solteiro;4;0.0;500.0;2.0;3.6;5.6;2.8;2.8;50
CM0060338;Em_Risco;60049.71;Premium;4.0;1;Reativacao_Urgente;2859.5099999999998;317.7233333333333;9;27;0;1;4;4;144;SP;26-35;Masculino;Brincos;Telefone;Outono;2025-04-29;2025-04-29;98;9;ALIANCA PRATA;9;1;0.1;27;9;2859.5099999999998;90.0;190.634;3.5;120099.42;Solteiro;4;0.0;500.0;2.0;3.6;5.6;3.1;3.1;50
CM0056526;Em_Risco;59195.43;Premium;3.9;1;Reativacao_Urgente;2818.83;352.35375;8;27;0;1;4;4;144;RS;26-35;Masculino;Brincos;Telefone;Outono;2025-04-29;2025-04-29;101;8;ALIANCA PRATA;8;1;0.1;27;8;2818.83;80.0;211.41225;3.5;118390.86;Solteiro;4;0.0;500.0;2.0;3.6;5.0;3.1;3.1;50
CM0005775;Em_Risco;65809.59;Premium;3.8;1;Reativacao_Urgente;3133.79;447.6842857142857;7;27;0;1;3;4;134;PR;18-25;Feminino;Pulseiras;Telefone;Outono;2025-04-29;2025-04-29;74;7;ALIANCA LATAO FOLHEA;7;1;0.1;27;7;3133.79;70.0;268.6105714285714;3.5;131619.18;Casado;4;0.0;500.0;2.0;3.6;4.3;3.4;3.4;50
C000008739;Em_Risco;97716.57;Premium;3.0;1;Reativacao_Urgente;4653.17;581.64625;8;28;0;1;4;4;144;PR;26-35;Feminino;Pulseiras;Telefone;Outono;2025-04-28;2025-04-28;44;8;ALIANCA PRATA;8;1;0.1;28;8;4653.17;80.0;348.98775;3.5;195433.14;Casado;4;0.0;500.0;2.0;0.0;5.0;5.1;5.1;50
C000008731;Em_Risco;22718.01;Alto;2.7;1;Reativacao_Urgente;1081.81;216.362;5;27;0;1;3;2;132;MG;26-35;Masculino;Pulseiras;Telefone;Outono;2025-04-29;2025-04-29;37;5;ALIANCA PRATA;5;1;0.2;27;5;1081.81;50.0;129.81719999999999;3.5;45436.02;Solteiro;4;0.0;500.0;2.0;3.6;3.1;1.2;1.2;30
CM0055403;Em_Risco;27255.69;Alto;1.3;1;Reativacao_Urgente;1297.89;259.57800000000003;5;28;0;1;3;3;133;SP;18-25;Masculino;Brincos;Telefone;Outono;2025-04-28;2025-04-28;47;5;ALIANCA ACO;5;1;0.2;28;5;1297.89;50.0;155.7468;3.5;54511.38;Solteiro;4;0.0;500.0;2.0;0.0;3.1;1.4;1.4;30
CM0040851;Campeoes;1920153.48;Premium;83.4;2;Evento_Exclusivo_Premium;91435.88;774.8803389830509;118;6;0;4;5;5;455;SP;18-25;Masculino;Pulseiras;Presencial;Outono;2025-04-28;2025-05-20;1864;74;ALIANCA PRATA;118;23;0.2;6;118;91435.88;1180.0;464.9282033898305;3.5;3840306.96;Casado;4;0.0;5000.0;4.2;78.6;73.3;100.0;100.0;20
C000008301;Campeoes;800155.44;Premium;78.2;2;Evento_Exclusivo_Premium;38102.64;236.66236024844721;161;3;0;5;5;5;555;SP;26-35;Feminino;Pulseiras;Presencial;Outono;2025-04-30;2025-05-23;409;78;ALIANCA PRATA;161;24;0.1;3;161;38102.64;1610.0;141.99741614906833;3.5;1600310.88;Casado;4;0.0;5000.0;4.2;89.3;100.0;41.7;41.7;20
CM0005276;Campeoes;1099085.82;Premium;67.4;2;Evento_Exclusivo_Premium;52337.42;951.5894545454545;55;0;0;5;5;5;555;RJ;26-35;Feminino;Pulseiras;Presencial;Outono;2025-04-28;2025-05-26;85;44;ALIANCA PRATA;55;29;0.5;0;55;52337.42;550.0;570.9536727272726;3.5;2198171.64;Casado;4;0.5;5000.0;4.2;100.0;34.2;57.2;57.2;20
CM0050883;Campeoes;684949.02;Premium;56.1;2;Evento_Exclusivo_Premium;32616.62;627.2426923076923;52;3;0;5;5;5;555;RJ;18-25;Feminino;Pulseiras;WhatsApp_VIP;Outono;2025-04-30;2025-05-23;558;39;ALIANCA PRATA;52;24;0.5;3;52;32616.62;520.0;376.34561538461537;3.5;1369898.04;Solteiro;4;0.0;5000.0;4.2;89.3;32.3;35.7;35.7;20
C000008500;Campeoes;424134.06;Premium;55.6;2;Evento_Exclusivo_Premium;20196.86;420.7679166666667;48;0;0;5;5;5;555;RJ;26-35;Feminino;Brincos;Presencial;Outono;2025-04-29;2025-05-26;455;32;ALIANCA ACO;48;28;0.6;0;48;20196.86;480.0;252.46075;3.5;848268.12;Casado;4;0.6;5000.0;4.2;100.0;29.8;22.1;22.1;20
CM0040175;Campeoes;239341.41;Premium;52.3;2;Evento_Exclusivo_Premium;11397.21;247.76543478260868;46;0;0;5;5;5;555;RJ;26-35;Masculino;Pulseiras;WhatsApp_VIP;Outono;2025-04-29;2025-05-26;208;27;ALIANCA PRATA;46;28;0.6;0;46;11397.21;460.0;148.6592608695652;3.5;478682.82;Casado;4;0.6;5000.0;4.2;100.0;28.6;12.5;12.5;20
CM0005548;Campeoes;341749.17;Premium;49.3;2;Evento_Exclusivo_Premium;16273.77;312.9571153846154;52;4;0;4;5;5;455;RJ;26-35;Masculino;Brincos;Presencial;Outono;2025-04-29;2025-05-22;152;45;ALIANCA PRATA;52;24;0.5;4;52;16273.77;520.0;187.77426923076925;3.5;683498.34;Casado;4;0.0;5000.0;4.2;85.7;32.3;17.8;17.8;20
CM0042754;Campeoes;272319.6;Premium;49.1;2;Evento_Exclusivo_Premium;12967.6;498.75384615384615;26;0;0;5;5;5;555;RJ;26-35;Masculino;Pulseiras;Presencial;Datas_Comemorativas;2025-05-05;2025-05-26;448;25;ALIANCA PRATA;26;22;0.8;0;26;12967.6;260.0;299.2523076923077;3.5;544639.2;Solteiro;5;0.8;5000.0;4.2;100.0;16.1;14.2;14.2;20
CM0005676;Campeoes;105482.16;Premium;48.7;2;Evento_Exclusivo_Premium;5022.96;132.18315789473684;38;0;0;5;5;4;554;MG;26-35;Feminino;Brincos;Presencial;Outono;2025-04-29;2025-05-26;36;28;ALIANCA PRATA;38;28;0.7;0;38;5022.96;380.0;79.3098947368421;3.5;210964.32;Casado;4;0.7;5000.0;4.2;100.0;23.6;5.5;5.5;20
CM0052400;Campeoes;114537.36;Premium;48.7;2;Evento_Exclusivo_Premium;5454.16;90.90266666666666;60;3;0;5;5;5;555;SP;18-25;Masculino;Brincos;Presencial;Outono;2025-04-28;2025-05-23;91;29;ALIANCA MOEDA;60;26;0.4;3;60;5454.16;600.0;54.541599999999995;3.5;229074.72;Casado;4;0.0;5000.0;4.2;89.3;37.3;6.0;6.0;20
CM0034499;Campeoes;306332.04;Premium;47.6;2;Evento_Exclusivo_Premium;14587.24;972.4826666666667;15;0;0;5;5;5;555;RJ;26-35;Feminino;Pulseiras;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;384;15;ALIANCA PRATA;15;1;0.1;0;15;14587.24;150.0;583.4896;3.5;612664.08;Solteiro;5;0.1;5000.0;4.2;100.0;9.3;16.0;16.0;20
CM0014500;Campeoes;156573.06;Premium;47.5;2;Evento_Exclusivo_Premium;7455.86;276.14296296296294;27;0;0;5;5;5;555;SP;26-35;Feminino;Pulseiras;WhatsApp_VIP;Datas_Comemorativas;2025-05-26;2025-05-26;170;27;ALIANCA PRATA;27;1;0.0;0;27;7455.86;270.0;165.68577777777776;3.5;313146.12;Solteiro;5;0.0;5000.0;4.2;100.0;16.8;8.2;8.2;20
CM0038126;Campeoes;147097.23;Premium;47.5;2;Evento_Exclusivo_Premium;7004.629999999999;250.16535714285712;28;0;0;5;5;5;555;MG;26-35;Feminino;Brincos;WhatsApp_VIP;Outono;2025-04-28;2025-05-26;254;25;ALIANCA ACO;28;29;1.0;0;28;7004.629999999999;280.0;150.09921428571425;3.5;294194.46;Solteiro;4;1.0;5000.0;4.2;100.0;17.4;7.7;7.7;20
CM0005568;Campeoes;195678.63;Premium;47.0;2;Evento_Exclusivo_Premium;9318.03;443.71571428571434;21;0;0;5;5;5;555;RJ;26-35;Masculino;Pulseiras;WhatsApp_VIP;Datas_Comemorativas;2025-05-06;2025-05-26;124;16;ALIANCA LATAO FOLHEA;21;21;1.0;0;21;9318.03;210.0;266.22942857142857;3.5;391357.26;Casado;5;1.0;5000.0;4.2;100.0;13.0;10.2;10.2;20
CM0048998;Campeoes;346938.06;Premium;46.9;2;Evento_Exclusivo_Premium;16520.86;532.9309677419355;31;3;0;5;5;5;555;RJ;26-35;Feminino;Pulseiras;WhatsApp_VIP;Outono;2025-04-30;2025-05-23;662;29;ALIANCA PRATA;31;24;0.8;3;31;16520.86;310.0;319.7585806451613;3.5;693876.12;Casado;4;0.0;5000.0;4.2;89.3;19.3;18.1;18.1;20
CM0057419;Campeoes;281111.04;Premium;46.6;2;Evento_Exclusivo_Premium;13386.24;1115.52;12;0;0;5;5;5;555;SP;26-35;Masculino;Brincos;Presencial;Datas_Comemorativas;2025-05-07;2025-05-26;75;7;FINANCEIRO;12;20;1.7;0;12;13386.24;120.0;669.312;3.5;562222.08;Casado;5;1.7;5000.0;4.2;100.0;7.5;14.6;14.6;20
CM0033420;Campeoes;131232.99;Premium;45.9;2;Evento_Exclusivo_Premium;6249.1900000000005;297.5804761904762;21;0;0;5;5;5;555;SP;18-25;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;162;21;ALIANCA ACO;21;1;0.0;0;21;6249.1900000000005;210.0;178.5482857142857;3.5;262465.98;Casado;5;0.0;5000.0;4.2;100.0;13.0;6.8;6.8;20
CM0056006;Campeoes;206330.04;Premium;45.6;2;Evento_Exclusivo_Premium;9825.24;755.7876923076923;13;0;0;5;5;5;555;MG;26-35;Masculino;Brincos;WhatsApp_VIP;Datas_Comemorativas;2025-05-05;2025-05-26;96;9;FINANCEIRO;13;22;1.7;0;13;9825.24;130.0;453.4726153846154;3.5;412660.08;Casado;5;1.7;5000.0;4.2;100.0;8.1;10.7;10.7;20
CM0046663;Campeoes;76219.29;Premium;45.1;2;Evento_Exclusivo_Premium;3629.49;172.83285714285714;21;0;0;5;5;4;554;RS;18-25;Feminino;Pulseiras;Presencial;Datas_Comemorativas;2025-05-13;2025-05-26;150;19;ALIANCA PRATA;21;14;0.7;0;21;3629.49;210.0;103.69971428571428;3.5;152438.58;Casado;5;0.7;5000.0;4.2;100.0;13.0;4.0;4.0;20
CM0047511;Campeoes;62828.01;Premium;45.1;2;Evento_Exclusivo_Premium;2991.81;135.99136363636364;22;0;0;5;5;4;554;RJ;26-35;Feminino;Brincos;Presencial;Outono;2025-04-28;2025-05-26;75;17;ALIANCA PRATA;22;29;1.3;0;22;2991.81;220.0;81.59481818181818;3.5;125656.02;Casado;4;1.3;5000.0;4.2;100.0;13.7;3.3;3.3;20
CM0023372;Campeoes;218956.08;Premium;44.7;2;Evento_Exclusivo_Premium;10426.48;347.5493333333333;30;3;0;5;5;5;555;SP;26-35;Masculino;Brincos;WhatsApp_VIP;Outono;2025-04-29;2025-05-23;235;22;ALIANCA PRATA;30;25;0.8;3;30;10426.48;300.0;208.5296;3.5;437912.16;Casado;4;0.0;5000.0;4.2;89.3;18.6;11.4;11.4;20
CM0049466;Campeoes;59267.88;Premium;44.1;2;Evento_Exclusivo_Premium;2822.2799999999997;166.01647058823528;17;0;0;5;5;4;554;MG;26-35;Feminino;Pulseiras;WhatsApp_VIP;Outono;2025-04-29;2025-05-26;12;10;ALIANCA ACO;17;28;1.6;0;17;2822.2799999999997;170.0;99.60988235294117;3.5;118535.76;Solteiro;4;1.6;5000.0;4.2;100.0;10.6;3.1;3.1;20
CM0041111;Campeoes;113236.62;Premium;44.0;2;Evento_Exclusivo_Premium;5392.22;449.3516666666667;12;0;0;5;5;5;555;RJ;26-35;Feminino;Brincos;WhatsApp_VIP;Datas_Comemorativas;2025-05-26;2025-05-26;142;12;ALIANCA PRATA;12;1;0.1;0;12;5392.22;120.0;269.611;3.5;226473.24;Casado;5;0.1;5000.0;4.2;100.0;7.5;5.9;5.9;20
CM0059536;Campeoes;337316.07;Premium;44.0;2;Evento_Exclusivo_Premium;16062.67;1003.916875;16;3;0;5;5;5;555;SP;26-35;Feminino;Pulseiras;WhatsApp_VIP;Datas_Comemorativas;2025-05-06;2025-05-23;203;13;ALIANCA PRATA FOLHEA;16;18;1.1;3;16;16062.67;160.0;602.3501249999999;3.5;674632.14;Solteiro;5;0.0;5000.0;4.2;89.3;9.9;17.6;17.6;20
CM0005250;Campeoes;380119.74;Premium;43.9;2;Evento_Exclusivo_Premium;18100.94;905.0469999999999;20;4;0;4;5;5;455;SP;26-35;Feminino;Pulseiras;Presencial;Datas_Comemorativas;2025-05-07;2025-05-22;146;20;PINGENTE;20;16;0.8;4;20;18100.94;200.0;543.0282;3.5;760239.48;Casado;5;0.0;5000.0;4.2;85.7;12.4;19.8;19.8;20
CM0034909;Campeoes;67005.54;Premium;43.8;2;Evento_Exclusivo_Premium;3190.7400000000002;212.716;15;0;0;5;5;4;554;RJ;18-25;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;91;15;ALIANCA PRATA;15;1;0.1;0;15;3190.7400000000002;150.0;127.6296;3.5;134011.08;Casado;5;0.1;5000.0;4.2;100.0;9.3;3.5;3.5;20
CM0005468;Campeoes;369732.93;Premium;43.7;2;Evento_Exclusivo_Premium;17606.329999999998;652.0862962962963;27;5;0;4;5;5;455;SP;26-35;Masculino;Brincos;Presencial;Outono;2025-04-30;2025-05-21;509;11;ALIANCA ACO;27;22;0.8;5;27;17606.329999999998;270.0;391.25177777777776;3.5;739465.86;Solteiro;4;0.0;5000.0;4.2;82.1;16.8;19.3;19.3;20
CM0055834;Campeoes;57004.92;Premium;43.7;2;Evento_Exclusivo_Premium;2714.52;180.968;15;0;0;5;5;4;554;RS;18-25;Masculino;Pulseiras;WhatsApp_VIP;Datas_Comemorativas;2025-05-26;2025-05-26;114;15;ALIANCA ACO;15;1;0.1;0;15;2714.52;150.0;108.5808;3.5;114009.84;Casado;5;0.1;5000.0;4.2;100.0;9.3;3.0;3.0;20
C000008844;Campeoes;117116.16;Premium;43.5;2;Evento_Exclusivo_Premium;5576.96;619.6622222222222;9;0;0;5;4;5;545;RS;26-35;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;102;9;ALIANCA PRATA;9;1;0.1;0;9;5576.96;90.0;371.7973333333333;3.5;234232.32;Casado;5;0.1;5000.0;4.2;100.0;5.6;6.1;6.1;20
CM0047161;Campeoes;172144.14;Premium;43.5;2;Evento_Exclusivo_Premium;8197.34;303.6051851851852;27;3;0;5;5;5;555;MG;26-35;Masculino;Brincos;WhatsApp_VIP;Datas_Comemorativas;2025-05-02;2025-05-23;32;21;ALIANCA UNITY;27;22;0.8;3;27;8197.34;270.0;182.1631111111111;3.5;344288.28;Solteiro;5;0.0;5000.0;4.2;89.3;16.8;9.0;9.0;20
CM0048544;Campeoes;102382.77;Premium;43.4;2;Evento_Exclusivo_Premium;4875.37;487.537;10;0;0;5;4;4;544;MG;18-25;Feminino;Pulseiras;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;78;10;ALIANCA PRATA;10;1;0.1;0;10;4875.37;100.0;292.5222;3.5;204765.54;Solteiro;5;0.1;5000.0;4.2;100.0;6.2;5.3;5.3;20
CM0018649;Campeoes;102307.59;Premium;43.3;2;Evento_Exclusivo_Premium;4871.79;541.31;9;0;0;5;4;4;544;RJ;26-35;Masculino;Brincos;WhatsApp_VIP;Datas_Comemorativas;2025-05-26;2025-05-26;163;9;ALIANCA PRATA;9;1;0.1;0;9;4871.79;90.0;324.78599999999994;3.5;204615.18;Casado;5;0.1;5000.0;4.2;100.0;5.6;5.3;5.3;20
CM0050096;Campeoes;90020.49;Premium;43.3;2;Evento_Exclusivo_Premium;4286.6900000000005;428.66900000000004;10;0;0;5;4;4;544;RJ;18-25;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;142;10;ALIANCA PRATA;10;1;0.1;0;10;4286.6900000000005;100.0;257.20140000000004;3.5;180040.98;Solteiro;5;0.1;5000.0;4.2;100.0;6.2;4.7;4.7;20
CM0059826;Campeoes;56750.82;Premium;43.3;2;Evento_Exclusivo_Premium;2702.42;207.87846153846155;13;0;0;5;5;4;554;SP;26-35;Feminino;Pulseiras;WhatsApp_VIP;Datas_Comemorativas;2025-05-13;2025-05-26;107;9;ALIANCA PRATA;13;14;1.1;0;13;2702.42;130.0;124.72707692307692;3.5;113501.64;Casado;5;1.1;5000.0;4.2;100.0;8.1;3.0;3.0;20
CM0060278;Campeoes;175815.78;Premium;43.1;2;Evento_Exclusivo_Premium;8372.18;334.8872;25;3;0;5;5;5;555;RJ;26-35;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-21;2025-05-23;171;24;ALIANCA PRATA;25;3;0.1;3;25;8372.18;250.0;200.93232;3.5;351631.56;Casado;5;0.0;5000.0;4.2;89.3;15.5;9.2;9.2;20
CM0037144;Campeoes;85421.7;Premium;43.0;2;Evento_Exclusivo_Premium;4067.7000000000003;451.9666666666667;9;0;0;5;4;4;544;MG;26-35;Masculino;Pulseiras;Presencial;Outono;2025-04-30;2025-05-26;95;7;FINANCEIRO;9;27;3.0;0;9;4067.7000000000003;90.0;271.18;3.5;170843.4;Solteiro;4;3.0;5000.0;4.2;100.0;5.6;4.4;4.4;20
CM0056093;Campeoes;88100.88;Premium;42.9;2;Evento_Exclusivo_Premium;4195.280000000001;524.4100000000001;8;0;0;5;4;4;544;SP;26-35;Feminino;Brincos;Presencial;Datas_Comemorativas;2025-05-26;2025-05-26;108;8;ALIANCA PRATA;8;1;0.1;0;8;4195.280000000001;80.0;314.646;3.5;176201.76;Casado;5;0.1;5000.0;4.2;100.0;5.0;4.6;4.6;20
